어코드 (Accord),온도 (X: Cool ↔ Warm),무게 (Y: Light ↔ Heavy),날씨/분위기 비유
Aquatic,-1.0,-0.4,차가운 바닷바람
Fresh,-0.8,-0.9,고산지대의 상쾌한 공기
Citrus,-0.6,-0.9,에너지 넘치는 아침 햇살
Green,-0.5,-0.5,갓 깎은 풀밭의 신선함
Synthetic,-0.3,-0.2,깨끗하고 모던한 공간
Floral,-0.1,-0.3,화창한 봄날의 꽃밭
Herbal,0.2,-0.2,따스한 햇살 아래 허브 정원
Powdery,0.2,0.2,포근하고 보드라운 분말
Fougère,0.3,0.4,깔끔하고 정돈된 바버샵
Fruity,0.4,-0.4,달콤하고 가벼운 과즙
Chypre,0.5,0.6,축축하고 우아한 숲의 흙
Musky,0.5,0.3,살결 같은 포근한 온기
Creamy,0.6,0.5,부드럽고 밀도 높은 우유
Alcoholic,0.6,0.2,달궈진 술의 알싸한 온기
Earthy,0.6,0.8,비 온 뒤 따뜻해진 흙
Woody,0.7,0.7,단단하고 깊은 나무 심재
Sweet,0.7,-0.1,꿀처럼 따스하고 달콤한 공기
Nuts,0.8,0.6,고소하게 구워진 견과류
Gourmand,0.8,0.8,오븐에서 막 구운 디저트
Spicy,0.9,0.4,코끝을 찌르는 뜨거운 불꽃
Resinous,0.9,0.9,끈적하고 진한 나무 수액
Oriental,1.0,0.8,신비롭고 화려한 밤의 열기
Smoky,1.0,0.9,타오르는 모닥불의 연기
Leathery,1.0,1.0,거칠고 묵직한 가죽의 질감
Animal,1.0,0.7,야생의 원초적인 체온
